time,expected_voltage,actual_voltage
35.918000,0.476000,0.475163
35.919000,0.476000,0.474539
35.920000,0.476000,0.475163
35.921000,0.476000,0.477351
35.922000,0.476000,0.477664
35.923000,0.476000,0.476101
35.924000,0.476000,0.476414
35.925000,0.476000,0.478914
35.926000,0.476000,0.474226
35.927000,0.476000,0.477351
35.928000,0.476000,0.475163
35.929000,0.476000,0.476101
35.930000,0.476000,0.475163
35.931000,0.476000,0.477976
35.932000,0.476000,0.475163
35.933000,0.476000,0.478601
35.934000,0.476000,0.476414
35.935000,0.476000,0.475789
35.936000,0.476000,0.475789
35.937000,0.476000,0.478601
35.938000,0.476000,0.475476
35.939000,0.476000,0.477039
35.940000,0.476000,0.476101
35.941000,0.476000,0.476726
35.942000,0.476000,0.476101
35.943000,0.476000,0.477664
35.944000,0.476000,0.476726
35.945000,0.476000,0.476101
35.946000,0.476000,0.475163
35.947000,0.476000,0.477664
35.948000,0.476000,0.526414
35.949000,0.476000,0.527039
35.950000,0.526000,0.526102
35.951000,0.526000,0.527664
35.952000,0.526000,0.527352
35.953000,0.526000,0.527039
35.954000,0.526000,0.526102
35.955000,0.526000,0.527352
35.956000,0.526000,0.527664
35.957000,0.526000,0.524539
35.958000,0.526000,0.526727
35.959000,0.526000,0.526727
35.960000,0.526000,0.524539
35.961000,0.526000,0.527352
35.962000,0.526000,0.528914
35.963000,0.526000,0.527977
35.964000,0.526000,0.527664
35.965000,0.526000,0.526414
35.966000,0.526000,0.527352
35.967000,0.526000,0.526102
35.968000,0.526000,0.527977
35.969000,0.526000,0.526102
35.970000,0.526000,0.527039
35.971000,0.526000,0.527039
35.972000,0.526000,0.527039
35.973000,0.526000,0.527977
35.974000,0.526000,0.524852
35.975000,0.526000,0.527039
35.976000,0.526000,0.525789
35.977000,0.526000,0.526414
35.978000,0.526000,0.525164
35.979000,0.526000,0.527352
35.980000,0.526000,0.527352
35.981000,0.526000,0.528914
35.982000,0.526000,0.525164
35.983000,0.526000,0.527352
35.984000,0.526000,0.527352
35.985000,0.526000,0.529227
35.986000,0.526000,0.524227
35.987000,0.526000,0.527039
35.988000,0.526000,0.527039
35.989000,0.526000,0.524852
35.990000,0.526000,0.524852
35.991000,0.526000,0.524852
35.992000,0.526000,0.524852
35.993000,0.526000,0.526727
35.994000,0.526000,0.528602
35.995000,0.526000,0.527039
35.996000,0.526000,0.526414
35.997000,0.526000,0.524539
35.998000,0.526000,0.482039
35.999000,0.526000,0.481726
36.000000,0.480000,0.480789
36.001000,0.480000,0.479851
36.002000,0.480000,0.480164
36.003000,0.480000,0.481726
36.004000,0.480000,0.480164
36.005000,0.480000,0.480476
36.006000,0.480000,0.481414
36.007000,0.480000,0.480164
36.008000,0.480000,0.480789
36.009000,0.480000,0.482039
36.010000,0.480000,0.479539
36.011000,0.480000,0.479539
36.012000,0.480000,0.480164
36.013000,0.480000,0.479226
36.014000,0.480000,0.481414
36.015000,0.480000,0.481101
36.016000,0.480000,0.481726
36.017000,0.480000,0.477976
36.018000,0.480000,0.478289
36.019000,0.480000,0.480789
36.020000,0.480000,0.481101
36.021000,0.480000,0.481101
36.022000,0.480000,0.480789
36.023000,0.480000,0.479226
36.024000,0.480000,0.479539
36.025000,0.480000,0.478601
36.026000,0.480000,0.481101
36.027000,0.480000,0.479226
36.028000,0.480000,0.479851
36.029000,0.480000,0.482039
36.030000,0.480000,0.480164
36.031000,0.480000,0.480164
36.032000,0.480000,0.479539
36.033000,0.480000,0.479851
36.034000,0.480000,0.479851
36.035000,0.480000,0.481101
36.036000,0.480000,0.480476
36.037000,0.480000,0.478601
36.038000,0.480000,0.477039
36.039000,0.480000,0.482351
36.040000,0.480000,0.480476
36.041000,0.480000,0.481101
36.042000,0.480000,0.480476
36.043000,0.480000,0.478914
36.044000,0.480000,0.482351
36.045000,0.480000,0.479851
36.046000,0.480000,0.482039
36.047000,0.480000,0.481414
36.048000,0.480000,0.480789
36.049000,0.480000,0.477664
36.050000,0.480000,0.482351
36.051000,0.480000,0.480476
36.052000,0.480000,0.482976
36.053000,0.480000,0.479539
36.054000,0.480000,0.482351
36.055000,0.480000,0.481101
36.056000,0.480000,0.480164
36.057000,0.480000,0.481101
36.058000,0.480000,0.484539
36.059000,0.480000,0.479226
36.060000,0.480000,0.480164
36.061000,0.480000,0.479851
36.062000,0.480000,0.481726
36.063000,0.480000,0.479851
36.064000,0.480000,0.479851
36.065000,0.480000,0.480164
36.066000,0.480000,0.481101
36.067000,0.480000,0.483914
36.068000,0.480000,0.483914
36.069000,0.480000,0.484226
36.070000,0.480000,0.479851
36.071000,0.480000,0.479226
36.072000,0.480000,0.482351
36.073000,0.480000,0.481726
36.074000,0.480000,0.479851
36.075000,0.480000,0.480476
36.076000,0.480000,0.479539
36.077000,0.480000,0.480789
36.078000,0.480000,0.480164
36.079000,0.480000,0.482039
36.080000,0.480000,0.482039
36.081000,0.480000,0.480789
36.082000,0.480000,0.477976
36.083000,0.480000,0.482039
36.084000,0.480000,0.479851
36.085000,0.480000,0.482039
36.086000,0.480000,0.481414
36.087000,0.480000,0.477664
36.088000,0.480000,0.482039
36.089000,0.480000,0.479851
36.090000,0.480000,0.478914
36.091000,0.480000,0.479851
36.092000,0.480000,0.481101
36.093000,0.480000,0.480164
36.094000,0.480000,0.479226
36.095000,0.480000,0.480164
36.096000,0.480000,0.480476
36.097000,0.480000,0.480164
36.098000,0.480000,0.480164
36.099000,0.480000,0.479539
36.100000,0.480000,0.478601
36.101000,0.480000,0.481101
36.102000,0.480000,0.478914
36.103000,0.480000,0.478914
36.104000,0.480000,0.479539
36.105000,0.480000,0.477664
36.106000,0.480000,0.481101
36.107000,0.480000,0.478914
36.108000,0.480000,0.479851
36.109000,0.480000,0.481726
36.110000,0.480000,0.480164
36.111000,0.480000,0.479226
36.112000,0.480000,0.481414
36.113000,0.480000,0.480476
36.114000,0.480000,0.481726
36.115000,0.480000,0.481414
36.116000,0.480000,0.480476
36.117000,0.480000,0.479226
36.118000,0.480000,0.483289
36.119000,0.480000,0.479851
36.120000,0.480000,0.480164
36.121000,0.480000,0.479851
36.122000,0.480000,0.480164
36.123000,0.480000,0.479539
36.124000,0.480000,0.478601
36.125000,0.480000,0.482351
36.126000,0.480000,0.480164
